Geography,Characteristics,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Saskatchewan,Number of new cancer cases,"4,360","4,580","4,430","4,265","4,340","4,465","4,605","4,765","4,750","4,925","4,885","4,910","5,075","5,005","4,895","5,195","5,300","5,275","5,205","5,400","5,430","5,590","5,490","5,500","5,645","5,655","5,725","6,075","5,600","6,115","6,320"
Saskatchewan,Cancer incidence rate 10,434.3,454.9,438.8,420.5,425.9,438.6,452.7,469.7,471.4,492.3,490,492.8,508.9,503.8,493.3,518.4,521,509.8,495,506.7,501.4,508.7,493.7,490.1,497.1,492.9,495.2,521.8,479.7,523.7,536.3
Alberta,Number of new cancer cases,"8,700","8,985","9,245","9,360","9,885","10,135","10,480","11,255","11,625","12,225","12,705","13,015","13,190","13,230","13,880","14,255","14,660","15,075","15,275","16,180","16,295","16,620","17,910","18,255","18,660","18,975","19,800","20,530","19,145","21,155","20,775"
Alberta,Cancer incidence rate 10,330.5,336.9,342.3,342.3,356.2,358.1,361.5,381.2,387,399.7,406.1,408.9,407.2,398.3,405.7,405.6,407.7,409.8,409.3,427.2,420.8,417.7,438.8,439.9,444.8,447.8,461.3,471.4,434.4,477.4,460.6
British Columbia,Number of new cancer cases,"15,360","16,135","15,590","15,770","16,400","16,845","16,990","18,055","18,020","18,535","18,675","18,585","18,820","19,515","20,095","21,385","21,470","22,295","22,475","23,245","23,885","24,320","24,435","25,170","25,635","25,610","27,235","28,370","26,720","29,310","29,625"
British Columbia,Cancer incidence rate 10,442.8,452.2,424.1,417.5,423.3,426.6,426.6,450.1,446.1,454.6,455.4,450.6,452.9,465.1,473.7,498.4,493.6,505.5,503.3,516.1,522.5,524.7,518.5,528.2,527.3,519,542.4,555.1,516.2,560.8,553
Yukon,Number of new cancer cases,50,60,60,60,75,65,65,95,75,85,115,85,110,110,95,110,95,145,145,150,140,145,130,170,170,165,185,170,170,145,210
Yukon,Cancer incidence rate 10,166.2,197.8,202.1,197.1,239,204.4,208.7,308.6,246.5,281.8,379.1,274.7,349.7,344.8,294.4,337.9,287.1,429.8,419.1,424.1,387.3,397.8,350.5,451.3,441,417.4,457.9,412.8,405.2,337.5,478.4
Northwest Territories,Number of new cancer cases,60,70,75,60,85,90,90,85,90,95,110,125,110,120,105,135,105,130,130,135,145,130,160,145,175,185,175,190,150,170,180
Northwest Territories,Cancer incidence rate 10,152.2,175.8,184.8,144.8,203.6,216.2,220.6,209.2,222.3,232.6,263.8,293.4,254,276.5,243.1,311.1,242,301.1,300.3,310.4,332.4,297,364.9,327.7,392.2,414.3,392.9,427.5,337,381.3,403.3
Nunavut,Number of new cancer cases,40,40,30,40,40,35,50,45,55,55,55,60,50,70,65,55,55,55,65,60,55,60,65,70,70,90,70,70,70,70,90
Nunavut,Cancer incidence rate 10,174.8,169.8,122.9,160.1,155.8,135.2,189.6,167.8,200,195.5,190.9,204.8,167.6,230.8,210.9,175.2,172.4,168.7,194.8,175.5,158.7,169.8,180.7,191.8,189.3,239,182.7,180.2,177.3,174.6,222.5
